D:\DATA\HB\201911\2019110109.D  1 Nov 19  10:03 pm,
4.1213,116
4.12498,117
4.12867,117
4.13235,119
4.13603,116
4.1397,117
4.14338,120
4.14707,116
4.15075,117
4.15443,119
4.15812,116
4.1618,117
4.16548,120
4.16917,117
4.17283,117
4.17652,117
4.1802,118
4.18388,117
4.18757,119
4.19125,117
4.19493,119
4.19862,117
4.2023,117
4.20597,117
4.20965,118
4.21333,119
4.21702,118
4.2207,118
4.22438,117
4.22807,118
4.23175,118
4.23543,118
4.2391,117
4.24278,118
4.24647,118
4.25015,117
4.25383,117
4.25752,116
4.2612,117
4.26488,119
4.26857,118
4.27223,117
4.27592,118
4.2796,118
4.28328,119
4.28697,120
4.29065,119
4.29433,119
4.29802,120
4.3017,117
4.30537,119
4.30905,120
4.31273,120
4.31642,119
4.3201,118
4.32378,118
4.32747,118
4.33115,118
4.33483,119
4.3385,117
4.34218,117
4.34587,118
4.34955,119
4.35323,118
4.35692,118
4.3606,117
4.36428,118
4.36797,119
4.37163,118
4.37532,118
4.379,118
4.38268,117
4.38637,116
4.39005,119
4.39373,117
4.39742,119
4.4011,118
4.40477,118
4.40845,118
4.41213,116
4.41582,118
4.4195,119
4.42318,119
4.42687,118
4.43055,118
4.43423,119
4.4379,118
4.44158,118
4.44527,119
4.44895,117
4.45263,119
4.45632,118
4.46,118
4.46368,116
4.46737,120
4.47105,125
4.47472,147
4.4784,217
4.48208,377
4.48577,656
4.48945,1013
4.49313,1335
4.49682,1486
4.5005,1463
4.50418,1381
4.50785,1215
4.51153,1072
4.51522,960
4.5189,844
4.52258,763
4.52627,701
4.52995,655
4.53363,585
4.53732,536
4.54098,509
4.54467,475
4.54835,449
4.55203,422
4.55572,400
4.5594,386
4.56308,375
4.56677,360
4.57045,340
4.57412,328
4.5778,309
4.58148,290
4.58517,275
4.58885,254
4.59253,238
4.59622,216
4.5999,197
4.60358,180
4.60725,167
4.61093,155
4.61462,151
4.6183,146
4.62198,144
4.62567,139
4.62935,135
4.63303,137
4.63672,136
4.64038,131
4.64407,132
4.64775,132
4.65143,131
4.65512,129
4.6588,130
4.66248,128
4.66617,128
4.66985,127
4.67352,128
4.6772,126
4.68088,128
4.68457,124
4.68825,126
4.69193,125
4.69562,124
4.6993,125
4.70298,125
4.70665,125
4.71033,125
4.71402,125
4.7177,126
4.72138,125
4.72507,124
4.72875,125
4.73243,122
4.73612,122
4.73978,123
4.74347,124
4.74715,124
4.75083,124
4.75452,122
4.7582,121
4.76188,123
4.76557,125
4.76925,125
4.77292,122
4.7766,123
4.78028,121
4.78397,121
4.78765,122
4.79133,120
4.79502,120
4.7987,121
4.80238,123
4.80607,120
4.80973,121
4.81342,120
4.8171,122
4.82078,122
4.82447,121
4.82815,120
4.83183,120
4.83552,120
4.8392,121
4.84287,120
4.84655,120
4.85023,119
4.85392,120
4.8576,120
4.86128,119
4.86497,120
4.86865,119
4.87233,122
4.876,120
4.87968,120
4.88337,119
4.88705,117
4.89073,119
4.89442,116
4.8981,118
4.90178,120
4.90547,120
4.90913,118
4.91282,119
4.9165,120
4.92018,118
4.92387,120
4.92755,118
4.93123,121
4.93492,117
4.9386,118
4.94227,119
4.94595,120
4.94963,120
4.95332,121
4.957,119
4.96068,121
4.96437,120
4.96805,117
4.97173,119
4.9754,119
4.97908,118
4.98277,116
4.98645,119
4.99013,119
4.99382,119
4.9975,120
5.00118,117
5.00487,118
5.00853,120
5.01222,117
5.0159,121
5.01958,116
5.02327,119
5.02695,117
5.03063,116
5.03432,120
5.038,118
5.04167,117
5.04535,118
5.04903,118
5.05272,116
5.0564,119
5.06008,117
5.06377,117
5.06745,119
5.07113,118
5.0748,119
5.07848,119
5.08217,116
5.08585,119
5.08953,118
5.09322,120
5.0969,122
5.10058,126
5.10427,131
5.10793,127
5.11162,126
5.1153,126
5.11898,123
5.12267,120
5.12635,120
5.13003,122
5.13372,122
5.1374,122
5.14107,122
5.14475,120
5.14843,123
5.15212,121
5.1558,120
5.15948,119
5.16317,120
5.16685,118
5.17053,120
5.17422,117
5.17788,119
5.18157,121
5.18525,118
5.18893,121
5.19262,120
5.1963,121
5.19998,119
5.20367,119
5.20735,119
5.21102,117
5.2147,118
5.21838,119
5.22207,119
5.22575,119
5.22943,119
5.23312,119
5.2368,118
5.24048,119
5.24415,118
5.24783,119
5.25152,118
5.2552,118
5.25888,119
5.26257,118
5.26625,119
5.26993,118
5.27362,119
5.27728,117
5.28097,118
5.28465,116
5.28833,119
5.29202,121
5.2957,118
5.29938,119
5.30307,117
5.30675,120
5.31042,120
5.3141,118
5.31778,119
5.32147,119
5.32515,118
5.32883,116
5.33252,119
5.3362,117
5.33988,117
5.34355,118
5.34723,117
5.35092,118
5.3546,117
5.35828,117
5.36197,116
5.36565,117
5.36933,117
5.37302,117
5.37668,116
5.38037,120
5.38405,118
5.38773,118
5.39142,120
5.3951,116
5.39878,117
5.40247,116
5.40615,118
5.40982,119
5.4135,117
5.41718,120
5.42087,123
5.42455,129
5.42823,137
5.43192,141
5.4356,137
5.43928,132
5.44295,128
5.44663,121
5.45032,121
5.454,120
5.45768,118
5.46137,117
5.46505,119
5.46873,118
5.47242,116
5.47608,117
5.47977,118
5.48345,119
5.48713,118
5.49082,120
5.4945,120
5.49818,125
5.50187,127
5.50555,127
5.50923,126
5.5129,126
5.51658,122
5.52027,120
5.52395,118
5.52763,118
5.53132,118
5.535,117
5.53868,119
5.54237,119
5.54603,116
5.54972,118
5.5534,118
5.55708,118
5.56077,116
5.56445,116
5.56813,116
5.57182,117
5.5755,119
5.57917,120
5.58285,117
5.58653,119
5.59022,120
5.5939,119
5.59758,120
5.60127,121
5.60495,121
5.60863,117
5.6123,117
5.61598,118
5.61967,118
5.62335,118
5.62703,117
5.63072,118
5.6344,118
5.63808,119
5.64177,117
5.64543,117
5.64912,118
5.6528,118
5.65648,117
5.66017,118
5.66385,118
5.66753,119
5.67122,118
5.6749,121
5.67857,119
5.68225,117
5.68593,119
5.68962,117
5.6933,119
5.69698,118
5.70067,117
5.70435,118
5.70803,117
5.7117,117
5.71538,117
5.71907,117
5.72275,119
5.72643,117
5.73012,118
5.7338,116
5.73748,118
5.74117,117
5.74483,118
5.74852,118
5.7522,115
5.75588,119
5.75957,119
5.76325,119
5.76693,118
5.77062,115
5.7743,115
5.77797,118
5.78165,117
5.78533,118
5.78902,115
5.7927,117
5.79638,116
5.80007,120
5.80375,119
5.80743,118
5.8111,118
5.81478,119
5.81847,115
5.82215,120
5.82583,117
5.82952,118
5.8332,117
5.83688,117
5.84057,115
5.84423,115
5.84792,116
5.8516,116
5.85528,116
5.85897,115
5.86265,116
5.86633,116
5.87002,115
5.8737,117
5.87738,118
5.88105,115
5.88473,113
5.88842,116
5.8921,117
5.89578,116
5.89947,114
5.90315,115
5.90683,115
5.91052,116
5.91418,116
5.91787,115
5.92155,116
5.92523,118
5.92892,116
5.9326,117
5.93628,117
5.93997,116
5.94365,115
5.94732,118
5.951,117
5.95468,118
5.95837,117
5.96205,119
5.96573,116
5.96942,119
5.9731,118
5.97678,117
5.98045,117
5.98413,116
5.98782,115
5.9915,115
5.99518,115
5.99887,116
6.00255,115
6.00623,117
6.00992,118
6.01358,116
6.01727,117
6.02095,116
6.02463,116
6.02832,115
6.032,117
6.03568,117
6.03937,117
6.04305,115
6.04672,117
6.0504,117
6.05408,117
6.05777,118
6.06145,118
6.06513,116
6.06882,114
6.0725,115
6.07618,116
6.07985,116
6.08353,115
6.08722,117
6.0909,115
6.09458,115
6.09827,118
6.10195,112
6.10563,118
6.10932,117
6.11298,116
6.11667,117
6.12035,116
6.12403,117
6.12772,115
6.1314,116
6.13508,118
6.13877,119
6.14245,118
6.14612,118
6.1498,115
6.15348,116
6.15717,116
6.16085,117
6.16453,116
6.16822,117
6.1719,115
6.17558,118
6.17925,117
6.18293,121
6.18662,118
6.1903,119
6.19398,117
6.19767,116
6.20135,117
6.20503,116
6.20872,117
6.2124,114
6.21607,116
6.21975,117
6.22343,115
6.22712,116
6.2308,115
6.23448,113
6.23817,114
6.24185,115
6.24553,117
6.2492,114
6.25288,116
6.25657,116
6.26025,114
6.26393,116
6.26762,117
6.2713,117
6.27498,119
6.27867,115
6.28233,115
6.28602,114
6.2897,117
6.29338,117
6.29707,117
6.30075,116
6.30443,113
6.30812,115
6.3118,116
6.31547,116
6.31915,116
6.32283,114
6.32652,116
6.3302,114
6.33388,115
6.33757,114
6.34125,115
6.34493,117
6.3486,114
6.35228,116
6.35597,117
6.35965,119
6.36333,114
6.36702,118
6.3707,116
6.37438,116
6.37807,117
6.38173,116
6.38542,117
6.3891,118
6.39278,113
6.39647,116
6.40015,116
6.40383,115
6.40752,116
6.4112,115
6.41487,117
6.41855,117
6.42223,114
6.42592,117
6.4296,115
6.43328,117
6.43697,116
6.44065,115
6.44433,116
6.448,118
6.45168,116
6.45537,116
6.45905,116
6.46273,115
6.46642,117
6.4701,118
6.47378,115
6.47747,116
6.48113,115
6.48482,115
6.4885,116
6.49218,116
6.49587,117
6.49955,116
6.50323,114
6.50692,119
6.5106,114
6.51427,120
6.51795,117
6.52163,113
6.52532,115
6.529,116
6.53268,115
6.53637,116
6.54005,116
6.54373,114
6.5474,114
6.55108,114
6.55477,113
6.55845,117
6.56213,116
6.56582,115
6.5695,115
6.57318,116
6.57687,117
6.58055,115
6.58422,115
6.5879,115
6.59158,117
6.59527,114
6.59895,116
6.60263,117
6.60632,117
6.61,116
6.61368,116
6.61735,117
6.62103,113
6.62472,115
6.6284,117
6.63208,113
6.63577,117
6.63945,117
6.64313,116
6.64682,115
6.65048,117
6.65417,114
6.65785,117
6.66153,116
6.66522,115
6.6689,115
6.67258,115
6.67627,117
6.67995,117
6.68362,117
6.6873,115
6.69098,116
6.69467,117
6.69835,117
6.70203,115
6.70572,117
6.7094,113
6.71308,114
6.71675,117
6.72043,116
6.72412,119
6.7278,116
6.73148,118
6.73517,116
6.73885,115
6.74253,116
6.74622,115
6.74988,116
6.75357,116
6.75725,115
6.76093,115
6.76462,118
6.7683,116
6.77198,115
6.77567,116
6.77935,115
6.78302,116
6.7867,116
6.79038,117
6.79407,117
6.79775,116
6.80143,119
6.80512,116
6.8088,115
6.81248,115
6.81615,115
6.81983,116
6.82352,115
6.8272,113
6.83088,116
6.83457,118
6.83825,117
6.84193,118
6.84562,117
6.84928,117
6.85297,118
6.85665,116
6.86033,117
6.86402,117
6.8677,117
6.87138,114
6.87507,115
6.87875,116
6.88242,116
6.8861,115
6.88978,115
6.89347,114
6.89715,115
6.90083,115
6.90452,107
6.9082,105
6.91188,108
6.91557,107
6.91923,107
6.92292,107
6.9266,111
6.93028,108
6.93397,111
6.93765,109
6.94133,110
6.94502,115
6.9487,124
6.95237,145
6.95605,195
6.95973,291
6.96342,437
6.9671,634
6.97078,867
6.97447,1051
6.97815,1211
6.98183,1258
6.9855,1236
6.98918,1143
6.99287,1003
6.99655,863
7.00023,720
7.00392,606
7.0076,491
7.01128,396
7.01497,322
7.01863,269
7.02232,233
7.026,208
7.02968,187
7.03337,174
7.03705,168
7.04073,156
7.04442,148
7.0481,148
7.05177,142
7.05545,138
7.05913,135
7.06282,134
7.0665,130
7.07018,131
7.07387,131
7.07755,131
7.08123,127
7.0849,123
7.08858,127
7.09227,126
7.09595,126
7.09963,122
7.10332,124
7.107,121
7.11068,121
7.11437,121
7.11803,119
7.12172,121
7.1254,117
7.12908,120
7.13277,119
7.13645,120
7.14013,118
7.14382,117
7.1475,117
7.15117,115
7.15485,116
7.15853,115
7.16222,115
7.1659,115
7.16958,114
7.17327,114
7.17695,117
7.18063,115
7.1843,119
7.18798,120
7.19167,121
7.19535,122
7.19903,121
7.20272,118
7.2064,118
7.21008,112
7.21377,114
7.21743,113
7.22112,112
7.2248,111
7.22848,112
7.23217,112
7.23585,112
7.23953,113
7.24322,112
7.2469,112
7.25057,111
7.25425,112
7.25793,111
7.26162,112
7.2653,112
7.26898,112
7.27267,112
7.27635,114
7.28003,112
7.28372,112
7.28738,113
7.29107,113
7.29475,112
7.29843,113
7.30212,110
7.3058,119
7.30948,116
7.31317,116
7.31685,117
7.32052,118
7.3242,119
7.32788,130
7.33157,150
7.33525,206
7.33893,295
7.34262,452
7.3463,679
7.34998,956
7.35365,1245
7.35733,1502
7.36102,1633
7.3647,1646
7.36838,1549
7.37207,1377
7.37575,1153
7.37943,918
7.38312,724
7.38678,563
7.39047,429
7.39415,328
7.39783,269
7.40152,230
7.4052,198
7.40888,182
7.41257,169
7.41625,162
7.41992,154
7.4236,153
7.42728,148
7.43097,143
7.43465,141
7.43833,139
7.44202,136
7.4457,137
7.44938,134
7.45305,131
7.45673,130
7.46042,128
7.4641,130
7.46778,129
7.47147,127
7.47515,129
7.47883,127
7.48252,124
7.48618,125
7.48987,123
7.49355,124
7.49723,122
7.50092,121
7.5046,123
7.50828,120
7.51197,121
7.51565,122
7.51932,121
7.523,122
7.52668,120
7.53037,121
7.53405,124
7.53773,120
7.54142,120
7.5451,119
7.54878,121
7.55245,121
7.55613,120
7.55982,119
7.5635,119
7.56718,118
7.57087,121
7.57455,121
7.57823,120
7.58192,119
7.58558,119
7.58927,118
7.59295,118
7.59663,115
7.60032,117
7.604,117
7.60768,118
7.61137,115
7.61505,114
7.61873,115
7.6224,118
7.62608,114
7.62977,116
7.63345,117
7.63713,118
7.64082,114
7.6445,117
7.64818,115
7.65187,116
7.65553,117
7.65922,116
7.6629,115
7.66658,118
7.67027,116
7.67395,115
7.67763,118
7.68132,115
7.685,117
7.68867,116
7.69235,116
7.69603,117
7.69972,117
7.7034,116
7.70708,116
7.71077,116
7.71445,117
7.71813,114
7.7218,113
7.72548,115
7.72917,117
7.73285,116
7.73653,117
7.74022,116
7.7439,117
7.74758,116
7.75127,118
7.75493,114
7.75862,116
7.7623,116
7.76598,116
7.76967,113
7.77335,115
7.77703,112
7.78072,114
7.7844,116
7.78807,112
7.79175,114
7.79543,114
7.79912,112
7.8028,114
7.80648,112
7.81017,113
7.81385,115
7.81753,115
7.8212,112
7.82488,114
7.82857,114
7.83225,115
7.83593,115
7.83962,115
7.8433,116
7.84698,114
7.85067,115
7.85433,113
7.85802,115
7.8617,117
7.86538,117
7.86907,115
7.87275,113
7.87643,115
7.88012,113
7.8838,114
7.88747,112
7.89115,114
7.89483,115
7.89852,115
7.9022,113
7.90588,113
7.90957,115
7.91325,112
7.91693,115
7.9206,115
7.92428,112
7.92797,112
7.93165,112
7.93533,115
7.93902,112
7.9427,113
7.94638,111
7.95007,113
7.95373,113
7.95742,112
7.9611,112
7.96478,114
7.96847,114
7.97215,116
7.97583,114
7.97952,114
7.9832,114
7.98688,114
7.99055,116
7.99423,113
7.99792,113
8.0016,114
8.00528,116
8.00897,115
8.01265,116
8.01633,113
8.02002,113
8.02368,113
8.02737,113
8.03105,114
8.03473,111
8.03842,114
8.0421,117
8.04578,112
8.04947,112
8.05315,113
8.05682,112
8.0605,112
8.06418,113
8.06787,114
8.07155,112
8.07523,112
8.07892,113
8.0826,113
8.08628,112
8.08995,113
8.09363,110
8.09732,111
8.101,111
8.10468,113
8.10837,113
8.11205,112
8.11573,113
8.11942,112
8.12308,113
8.12677,113
8.13045,112
8.13413,115
8.13782,113
8.1415,111
8.14518,112
8.14887,114
8.15255,112
8.15622,113
8.1599,115
8.16358,111
8.16727,111
8.17095,114
8.17463,110
8.17832,112
8.182,112
8.18568,112
8.18935,114
8.19303,110
8.19672,111
8.2004,112
8.20408,113
8.20777,113
8.21145,112
8.21513,110
8.21882,110
8.22248,112
8.22617,112
8.22985,113
8.23353,111
8.23722,113
8.2409,113
8.24458,114
8.24827,115
8.25195,113
8.25562,113
8.2593,114
8.26298,112
8.26667,113
8.27035,113
8.27403,114
8.27772,114
8.2814,115
8.28508,113
8.28875,111
8.29243,111
8.29612,112
8.2998,113
8.30348,112
8.30717,112
8.31085,113
8.31453,112
8.31822,113
8.3219,111
8.32557,111
8.32925,111
8.33293,112
8.33662,111
8.3403,110
8.34398,110
8.34767,110
8.35135,112
8.35503,112
8.3587,112
8.36238,110
8.36607,112
8.36975,111
8.37343,113
8.37712,113
8.3808,110
8.38448,110
8.38817,111
8.39183,112
8.39552,114
8.3992,113
8.40288,113
8.40657,113
8.41025,111
8.41393,112
8.41762,113
8.4213,116
8.42497,114
8.42865,113
8.43233,113
8.43602,112
8.4397,111
8.44338,112
8.44707,111
8.45075,112
8.45443,113
8.4581,112
8.46178,111
8.46547,110
8.46915,110
8.47283,111
8.47652,112
8.4802,110
8.48388,111
8.48757,111
8.49123,112
8.49492,112
8.4986,113
8.50228,111
8.50597,1101
8.50965,1118
8.51333,1062
8.51702,946
8.5207,845
8.52437,703
8.52805,589
8.53173,498
8.53542,425
8.5391,375
8.54278,322
8.54647,289
8.55015,267
8.55383,245
8.5575,231
8.56118,214
8.56487,207
8.56855,197
8.57223,189
8.57592,184
8.5796,181
8.58328,176
8.58697,174
8.59063,167
8.59432,166
8.598,163
8.60168,160
8.60537,154
8.60905,154
8.61273,153
8.61642,153
8.6201,148
8.62377,144
8.62745,148
8.63113,144
8.63482,146
8.6385,141
8.64218,140
8.64587,141
8.64955,141
8.65323,137
8.6569,142
8.66058,137
8.66427,138
8.66795,135
8.67163,138
8.67532,133
8.679,131
8.68268,136
8.68637,131
8.69005,132
8.69372,132
8.6974,130
8.70108,130
8.70477,130
8.70845,131
8.71213,128
8.71582,127
8.7195,128
8.72318,127
8.72685,128
8.73053,130
8.73422,126
8.7379,125
8.74158,126
8.74527,127
8.74895,125
8.75263,124
8.75632,126
8.75998,123
8.76367,125
8.76735,124
8.77103,125
8.77472,123
8.7784,125
8.78208,125
8.78577,124
8.78945,124
8.79312,122
8.7968,124
8.80048,124
8.80417,122
8.80785,125
8.81153,122
8.81522,123
8.8189,122
8.82258,124
8.82625,122
8.82993,124
8.83362,122
8.8373,121
8.84098,119
8.84467,122
8.84835,120
8.85203,121
8.85572,119
8.85938,121
8.86307,119
8.86675,121
8.87043,120
8.87412,118
8.8778,118
8.88148,118
8.88517,120
8.88885,118
8.89252,118
8.8962,119
8.89988,119
8.90357,120
8.90725,121
8.91093,121
8.91462,118
8.9183,118
8.92198,121
8.92565,119
8.92933,119
8.93302,118
8.9367,118
8.94038,118
8.94407,119
8.94775,119
8.95143,119
8.95512,117
8.95878,117
8.96247,116
8.96615,117
8.96983,117
8.97352,118
8.9772,117
8.98088,116
8.98457,116
8.98825,115
8.99192,117
8.9956,116
8.99928,116
9.00297,116
9.00665,115
9.01033,116
9.01402,116
9.0177,115
9.02138,114
9.02507,116
9.02873,116
9.03242,116
9.0361,117
9.03978,115
9.04347,115
9.04715,116
9.05083,115
9.05452,116
9.0582,114
9.06187,115
9.06555,116
9.06923,114
9.07292,115
9.0766,117
9.08028,114
9.08397,114
9.08765,115
9.09133,115
9.095,113
9.09868,113
9.10237,118
9.10605,115
9.10973,116
9.11342,115
9.1171,113
9.12078,115
9.12447,113
9.12813,112
9.13182,115
9.1355,114
9.13918,113
9.14287,112
9.14655,114
9.15023,115
9.15392,113
9.1576,113
9.16127,112
9.16495,112
9.16863,113
9.17232,113
9.176,113
9.17968,113
9.18337,115
9.18705,114
9.19073,114
9.1944,114
9.19808,113
9.20177,113
9.20545,114
9.20913,114
9.21282,113
9.2165,113
9.22018,114
9.22387,112
9.22753,112
9.23122,113
9.2349,113
9.23858,115
9.24227,114
9.24595,115
9.24963,113
9.25332,115
9.257,115
9.26067,116
9.26435,117
9.26803,116
9.27172,114
9.2754,118
9.27908,115
9.28277,114
9.28645,115
9.29013,114
9.2938,114
9.29748,115
9.30117,113
9.30485,113
9.30853,114
9.31222,116
9.3159,115
9.31958,115
9.32327,115
9.32693,113
9.33062,112
9.3343,113
9.33798,113
9.34167,112
9.34535,110
9.34903,110
9.35272,114
9.3564,112
9.36007,113
9.36375,113
9.36743,113
9.37112,113
9.3748,114
9.37848,113
9.38217,113
9.38585,114
9.38953,112
9.39322,114
9.39688,112
9.40057,114
9.40425,111
9.40793,112
9.41162,110
9.4153,110
9.41898,112
9.42267,112
9.42635,113
9.43002,112
9.4337,114
9.43738,113
9.44107,112
9.44475,110
9.44843,114
9.45212,111
9.4558,111
9.45948,110
9.46315,110
9.46683,111
9.47052,110
9.4742,111
9.47788,113
9.48157,112
9.48525,110
9.48893,110
9.49262,111
9.49628,111
9.49997,112
9.50365,111
9.50733,110
9.51102,111
9.5147,112
9.51838,110
9.52207,111
9.52575,111
9.52942,111
9.5331,111
9.53678,111
9.54047,111
9.54415,110
9.54783,112
9.55152,112
9.5552,110
9.55888,110
9.56255,110
9.56623,111
9.56992,112
9.5736,111
9.57728,113
9.58097,110
9.58465,110
9.58833,110
9.59202,110
9.59568,109
9.59937,110
9.60305,110
9.60673,111
9.61042,111
9.6141,110
9.61778,112
9.62147,111
9.62515,113
9.62882,112
9.6325,110
9.63618,109
9.63987,111
9.64355,111
9.64723,110
9.65092,110
9.6546,111
9.65828,111
9.66195,108
9.66563,111
9.66932,112
9.673,112
9.67668,109
9.68037,110
9.68405,109
9.68773,110
9.69142,111
9.69508,110
9.69877,110
9.70245,112
9.70613,111
9.70982,111
9.7135,109
9.71718,109
9.72087,108
9.72455,110
9.72823,109
9.7319,112
9.73558,109
9.73927,111
9.74295,109
9.74663,111
9.75032,109
9.754,109
9.75768,110
9.76137,110
9.76503,108
9.76872,109
9.7724,111
9.77608,110
9.77977,108
9.78345,110
9.78713,109
9.79082,109
9.7945,109
9.79817,107
9.80185,108
9.80553,108
9.80922,108
9.8129,108
9.81658,108
9.82027,108
9.82395,109
9.82763,106
9.8313,107
9.83498,110
9.83867,108
9.84235,106
9.84603,109
9.84972,109
9.8534,108
9.85708,108
9.86077,110
9.86443,108
9.86812,107
9.8718,109
9.87548,109
9.87917,108
9.88285,108
9.88653,107
9.89022,109
9.8939,109
9.89757,108
9.90125,110
9.90493,107
9.90862,107
9.9123,106
9.91598,107
9.91967,109
9.92335,109
9.92703,109
9.9307,109
9.93438,109
9.93807,107
9.94175,107
9.94543,109
9.94912,109
9.9528,108
9.95648,110
9.96017,108
9.96383,108
9.96752,110
9.9712,110
9.97488,109
9.97857,108
9.98225,111
9.98593,108
9.98962,109
9.9933,109
9.99697,108
10.0007,109
10.0043,108
10.008,108
10.0117,108
10.0154,108
10.0191,107
10.0228,109
10.0264,108
10.0301,109
10.0338,107
10.0375,108
10.0412,107
10.0448,107
10.0485,106
10.0522,109
10.0559,108
10.0596,108
10.0632,107
10.0669,109
10.0706,108
10.0743,106
10.078,108
10.0817,108
10.0853,108
10.089,107
10.0927,109
10.0964,108
10.1001,108
10.1037,106
10.1074,108
10.1111,108
10.1148,107
10.1185,108
10.1222,110
10.1258,107
10.1295,108
10.1332,109
10.1369,110
10.1406,108
10.1442,109
10.1479,109
10.1516,105
10.1553,109
10.159,109
10.1627,110
10.1663,107
10.17,108
10.1737,107
10.1774,109
10.1811,108
10.1847,109
10.1884,110
10.1921,108
10.1958,107
10.1995,107
10.2031,107
10.2068,107
10.2105,107
10.2142,107
10.2179,109
10.2216,107
10.2252,107
10.2289,109
10.2326,108
10.2363,108
10.24,109
10.2436,107
10.2473,109
10.251,107
10.2547,108
10.2584,107
10.2621,109
10.2657,104
10.2694,109
10.2731,107
10.2768,107
10.2805,108
10.2841,106
10.2878,107
10.2915,106
10.2952,108
10.2989,107
10.3025,107
10.3062,107
10.3099,107
10.3136,108
10.3173,107
10.321,107
10.3246,108
10.3283,109
10.332,107
10.3357,108
10.3394,106
10.343,108
10.3467,108
10.3504,109
10.3541,107
10.3578,107
10.3615,108
10.3651,105
10.3688,108
10.3725,108
10.3762,109
10.3799,107
10.3835,107
10.3872,107
10.3909,106
10.3946,108
10.3983,108
10.4019,107
10.4056,107
10.4093,106
10.413,109
